sample_id,state,latitude,longitude,rainfall_mm,rainfall_24h,rainfall_7d,soil_moisture,slope_degree,elevation_m,distance_to_fault_km,historical_events_count,distance_to_drainage_m,probability,landslide_occurred
NER_00016,Meghalaya,25.70769,90.50561,51.54,146.33,411.58,98.0,31.1,2013.4,2.26,1,241.5,0.9962,1
NER_00017,Arunachal Pradesh,27.21606,93.87472,5.88,239.65,717.9,98.0,38.41,2302.2,3.04,2,18.8,0.9997,1
NER_00018,Meghalaya,25.89134,90.90858,0.2,0.2,49.03,43.22,38.88,1815.0,9.73,2,1090.2,0.0069,0
NER_00019,Manipur,24.30249,94.60148,2.01,21.32,30.32,51.79,42.26,1088.9,2.65,0,105.0,0.0468,0
NER_00020,Assam (Barak/Dima Hasao),25.96109,92.56172,7.56,14.02,6.71,44.19,18.77,643.8,31.22,0,145.8,0.0008,0
NER_00021,Sikkim,27.91805,88.52426,2.0,22.47,12.6,23.6,42.12,2324.8,2.95,4,397.6,0.027,0
NER_00022,Assam (Barak/Dima Hasao),26.16337,93.54927,43.47,55.36,501.38,98.0,27.77,1012.6,1.42,3,48.7,0.9892,1
NER_00023,Mizoram,22.59369,93.14485,14.06,83.67,471.57,98.0,44.2,1709.6,15.65,0,424.0,0.9866,1
NER_00024,Meghalaya,25.9702,90.63737,53.01,233.34,343.7,82.32,32.87,1145.3,31.77,1,700.2,0.9923,1
NER_00025,Meghalaya,25.63691,90.83706,24.99,24.99,251.21,77.79,34.19,982.8,33.2,0,574.4,0.1001,0
NER_00026,Mizoram,22.84698,92.28397,23.33,84.59,298.37,76.96,17.14,1016.2,3.01,3,318.0,0.7541,1
NER_00027,Manipur,24.1645,94.19687,6.29,7.6,12.61,41.23,17.16,1557.3,1.53,1,130.3,0.0028,0
NER_00028,Tripura (Jampui Hills),23.94216,91.92822,45.38,157.41,338.25,85.64,5.0,744.3,12.72,0,22.2,0.8589,1
NER_00029,Mizoram,22.28312,92.25546,23.18,176.63,379.42,89.84,16.55,1747.1,11.71,1,543.2,0.9755,1
NER_00030,Sikkim,27.98193,88.7744,8.43,140.42,583.28,98.0,49.75,1742.3,1.98,3,297.6,0.9997,1
NER_00031,Arunachal Pradesh,29.35012,96.84856,2.07,18.59,28.48,28.65,49.48,2115.6,5.62,3,198.4,0.0525,0
NER_00032,Tripura (Jampui Hills),24.12675,91.96476,39.44,67.03,409.31,96.04,10.67,890.0,2.54,0,194.2,0.7667,1
NER_00033,Assam (Barak/Dima Hasao),25.26323,93.15229,27.28,213.15,502.21,98.0,39.74,1038.5,3.95,2,730.0,0.9997,1
NER_00034,Assam (Barak/Dima Hasao),25.55351,93.52849,40.38,165.5,554.66,98.0,21.33,1013.3,5.36,0,166.2,0.9979,1
NER_00035,Manipur,25.66337,93.96142,2.62,4.54,15.61,35.91,38.05,804.4,8.7,0,139.9,0.006,0
NER_00036,Assam (Barak/Dima Hasao),25.18956,93.83169,5.61,5.61,4.12,21.41,8.95,1109.2,5.08,2,13.4,0.0006,0
NER_00037,Mizoram,22.41834,92.22446,4.86,19.17,10.07,46.18,32.69,1369.9,8.86,1,61.5,0.0142,0
NER_00038,Manipur,25.63297,93.19458,1.9,1.9,41.44,23.57,35.68,1155.6,9.05,5,126.3,0.0171,0
NER_00039,Meghalaya,25.8166,91.4978,24.98,109.51,360.1,81.38,42.73,1525.9,8.67,0,260.7,0.9719,1
NER_00040,Manipur,24.62743,94.32083,47.14,179.48,330.26,83.78,42.45,1410.0,13.21,1,165.2,0.9963,1
NER_00041,Meghalaya,25.35104,91.15241,15.69,124.7,314.37,81.48,32.03,880.4,8.83,0,170.5,0.9401,1
NER_00042,Sikkim,27.56829,88.17195,2.35,11.2,1.03,34.15,49.91,2222.2,6.48,0,161.6,0.0168,0
NER_00043,Arunachal Pradesh,27.91978,94.68553,8.34,42.15,158.81,67.79,51.18,2009.1,3.21,2,79.0,0.735,1
NER_00044,Manipur,24.16393,94.32949,2.42,7.41,21.65,44.78,26.01,1626.5,11.42,1,984.5,0.0018,0
NER_00045,Sikkim,28.07172,88.49802,11.77,120.61,348.83,98.0,36.48,2003.4,16.23,1,515.3,0.9779,1
NER_00046,Meghalaya,25.46064,90.02225,2.96,2.96,45.87,47.68,38.79,1308.8,1.29,1,90.5,0.0302,0
NER_00047,Assam (Barak/Dima Hasao),25.43072,93.11981,1.69,23.69,12.47,43.11,21.83,1525.0,2.92,2,235.2,0.0084,0
NER_00048,Manipur,24.84879,93.28176,14.37,208.41,270.44,81.61,6.97,586.6,5.08,0,85.0,0.9453,1
NER_00049,Mizoram,23.00536,92.85347,17.3,183.52,469.66,98.0,18.2,500.1,14.02,0,45.4,0.9955,1
NER_00050,Nagaland,26.10085,94.23821,32.49,231.43,637.61,98.0,44.68,1599.8,4.53,0,72.0,0.9997,1
NER_00051,Nagaland,26.23724,94.74991,26.91,198.21,664.28,98.0,39.93,1931.4,4.67,0,1447.8,0.9997,1
NER_00052,Manipur,24.42663,94.24861,23.42,87.74,554.32,98.0,32.31,870.7,13.44,1,151.7,0.9928,1
NER_00053,Sikkim,27.72343,88.48833,5.09,5.09,32.95,35.33,33.04,2333.7,3.59,2,245.5,0.01,0
NER_00054,Meghalaya,25.12598,91.69007,52.19,204.32,285.37,77.51,36.32,800.8,2.98,0,131.1,0.9945,1
NER_00055,Nagaland,26.11597,93.81951,6.91,12.71,52.76,29.67,30.83,2068.8,2.23,1,121.0,0.008,0
NER_00056,Assam (Barak/Dima Hasao),25.27583,93.6028,3.87,21.63,26.79,31.64,5.0,746.9,10.36,3,216.8,0.0012,0
NER_00057,Assam (Barak/Dima Hasao),25.43748,92.95049,45.0,182.56,529.91,98.0,24.64,982.6,6.79,0,373.5,0.9983,1
NER_00058,Manipur,24.74112,93.06664,23.73,117.81,472.91,98.0,15.98,1092.3,16.3,3,145.1,0.9856,1
NER_00059,Nagaland,25.80941,94.61614,48.24,176.71,548.44,98.0,30.69,1040.0,15.3,3,119.5,0.9996,1
NER_00060,Meghalaya,25.31129,91.8532,2.4,2.51,9.98,21.01,30.5,1679.5,0.76,5,357.2,0.0082,0
NER_00061,Sikkim,27.3227,88.33736,14.76,210.94,519.81,98.0,44.76,2590.1,6.68,3,46.6,0.9997,1
NER_00062,Nagaland,26.02723,94.567,7.7,24.69,17.95,44.16,32.4,1860.3,2.71,1,19.2,0.0215,0
NER_00063,Nagaland,25.55859,94.03092,16.55,235.04,561.24,98.0,29.03,1207.3,6.79,1,1229.7,0.9996,1
NER_00064,Sikkim,28.00168,88.67065,42.05,57.78,200.56,69.9,47.67,1450.5,11.96,0,404.8,0.54,1
NER_00065,Meghalaya,25.91306,91.73902,9.0,183.18,292.22,85.09,18.48,1243.9,6.93,2,23.6,0.9851,1
NER_00066,Arunachal Pradesh,28.09256,96.98092,7.7,8.47,6.91,24.93,45.36,2330.3,13.93,1,410.6,0.0053,0
NER_00067,Assam (Barak/Dima Hasao),26.15418,93.62642,6.58,16.81,35.07,52.91,13.42,1278.4,0.2,1,151.6,0.0061,0
NER_00068,Mizoram,23.12584,92.94346,8.18,172.74,494.9,98.0,37.52,1075.3,7.53,2,252.2,0.9996,1
NER_00069,Meghalaya,25.18747,92.46178,23.99,182.01,281.55,82.92,32.7,1689.5,8.88,2,729.6,0.9855,1
NER_00070,Tripura (Jampui Hills),24.11565,92.36343,49.79,235.71,431.01,95.64,17.44,1201.8,1.96,1,67.3,0.9992,1
NER_00071,Meghalaya,25.95411,92.27257,12.88,237.48,621.62,98.0,29.49,1631.6,8.16,5,13.0,0.9997,1
NER_00072,Mizoram,23.4246,93.17566,6.39,24.69,32.41,23.85,31.66,1886.3,12.43,1,81.2,0.0049,0
NER_00073,Manipur,23.82823,94.42197,43.23,182.77,427.09,93.86,28.6,1452.8,1.53,0,338.4,0.9972,1
NER_00074,Sikkim,27.79997,88.81788,5.7,10.66,6.48,35.52,37.64,2016.4,8.25,0,1640.5,0.001,0
NER_00075,Arunachal Pradesh,28.32489,91.89409,7.26,117.09,419.53,98.0,35.59,2511.3,6.36,0,1306.6,0.9676,1
NER_00076,Mizoram,23.01818,93.26571,38.4,72.35,531.47,98.0,15.54,1586.5,4.07,2,93.7,0.976,1
NER_00077,Assam (Barak/Dima Hasao),24.93519,93.53431,41.77,94.56,423.96,89.97,24.63,943.0,7.06,1,100.0,0.9617,1
NER_00078,Sikkim,28.06524,88.54037,42.42,205.21,400.61,84.97,30.95,2621.8,1.91,2,63.5,0.9991,1
NER_00079,Sikkim,27.66989,88.59205,36.84,55.82,150.28,61.9,30.67,2166.3,2.55,2,636.3,0.2038,1
NER_00080,Sikkim,27.10093,88.47743,1.24,14.91,53.0,46.41,30.95,2508.7,1.37,0,98.0,0.0153,0
NER_00081,Meghalaya,25.34489,91.78582,27.79,78.73,414.05,93.93,22.32,1438.9,2.55,2,30.2,0.9656,1
NER_00082,Sikkim,27.00846,88.27128,4.39,4.39,22.81,37.51,35.62,2252.4,2.36,0,10.0,0.0087,0
NER_00083,Arunachal Pradesh,26.71623,96.67059,8.1,174.64,392.6,92.37,46.75,2675.1,20.32,3,214.4,0.9992,1
NER_00084,Arunachal Pradesh,27.01562,97.18569,48.14,105.1,170.49,65.37,28.66,2751.8,3.59,1,28.0,0.6324,0
NER_00085,Meghalaya,25.55943,90.14208,1.58,5.91,8.79,41.08,25.63,532.0,3.44,2,427.2,0.0048,0
NER_00086,Meghalaya,25.25943,92.11854,47.81,157.94,468.98,98.0,30.78,730.1,11.41,1,644.8,0.9959,1
NER_00087,Manipur,24.63555,93.84406,17.22,23.46,219.39,62.87,17.11,575.6,7.16,1,19.3,0.0714,0
NER_00088,Assam (Barak/Dima Hasao),25.4478,93.27604,5.28,122.02,219.9,61.12,5.0,971.0,4.78,3,263.8,0.3994,1
NER_00089,Arunachal Pradesh,29.44716,92.00597,22.53,96.88,539.95,98.0,40.46,2510.2,9.84,8,185.6,0.9997,1
NER_00090,Arunachal Pradesh,26.69774,92.06704,1.13,8.33,34.96,32.24,28.59,2457.7,10.29,2,592.0,0.0032,0
NER_00091,Assam (Barak/Dima Hasao),24.98053,93.49237,7.3,23.68,59.83,23.27,17.37,1191.0,8.25,0,34.2,0.0016,0
NER_00092,Arunachal Pradesh,26.55469,93.3532,28.91,81.55,466.21,98.0,47.84,2948.7,11.62,0,2000.0,0.9424,1
NER_00093,Sikkim,27.72812,88.78875,4.32,218.1,572.63,98.0,29.05,1835.6,1.34,0,295.1,0.9997,1
NER_00094,Nagaland,26.5543,94.78922,25.35,167.62,454.31,98.0,45.81,1529.7,26.96,3,585.8,0.9991,1
NER_00095,Assam (Barak/Dima Hasao),25.50407,93.08613,39.7,98.52,548.95,98.0,27.15,977.3,7.42,3,13.4,0.9972,1
NER_00096,Manipur,24.3183,94.62955,21.0,21.0,74.97,58.28,27.54,1357.9,23.41,0,150.0,0.0107,0
NER_00097,Meghalaya,25.43742,89.88456,9.36,201.7,544.93,98.0,47.61,1078.0,8.4,3,37.0,0.9997,1
NER_00098,Meghalaya,25.1171,90.44696,35.86,42.42,179.71,76.15,22.56,1960.4,7.51,1,374.2,0.1571,0
NER_00099,Meghalaya,25.19977,92.51544,24.08,153.33,291.59,78.91,30.65,1358.4,5.8,0,38.7,0.9675,0
NER_00100,Meghalaya,25.95806,91.43225,20.93,98.99,465.29,95.04,28.73,1508.0,0.2,3,11.1,0.9957,1
NER_00101,Mizoram,23.80565,92.95391,3.72,4.38,46.75,44.34,31.98,553.9,3.23,0,197.4,0.0087,0
NER_00102,Manipur,23.91989,94.39714,4.34,12.88,59.35,28.87,20.76,1187.6,0.36,0,10.7,0.003,0
NER_00103,Mizoram,22.64389,93.23457,19.97,113.94,574.36,98.0,42.55,1372.8,2.55,3,143.6,0.9996,1
NER_00104,Nagaland,26.64207,94.68145,33.94,163.71,331.63,88.03,47.74,1977.9,13.82,1,96.9,0.9972,1
NER_00105,Tripura (Jampui Hills),23.85155,91.82541,1.88,1.88,38.25,48.04,25.75,328.2,50.34,0,978.3,0.0003,0
NER_00106,Sikkim,27.15706,88.54682,37.99,142.63,444.92,98.0,38.47,2095.6,0.56,2,114.1,0.9991,1
NER_00107,Manipur,24.80597,93.71646,15.8,141.38,289.18,76.64,25.26,921.1,0.96,2,172.8,0.9615,1
NER_00108,Nagaland,26.44917,95.19739,7.89,20.26,58.05,43.37,36.5,1705.6,0.62,0,312.4,0.0202,0
NER_00109,Nagaland,26.8044,94.91759,43.89,60.22,152.72,69.59,30.1,610.3,8.12,3,177.7,0.4463,1
NER_00110,Manipur,24.9627,93.15519,1.84,1.84,58.34,35.75,29.88,524.5,10.15,1,366.5,0.0041,0
NER_00111,Arunachal Pradesh,26.885,96.47432,2.43,20.78,31.09,25.67,70.0,2094.9,11.68,0,174.7,0.0749,0
NER_00112,Mizoram,22.79966,93.32908,28.64,83.14,353.2,81.45,26.2,1811.1,2.31,2,200.1,0.9169,1
NER_00113,Manipur,24.12528,94.12406,16.03,228.42,605.38,98.0,34.67,890.3,20.61,0,498.4,0.9997,1
NER_00114,Sikkim,27.54784,88.56445,25.3,31.42,88.38,67.75,49.37,1952.8,5.28,3,288.8,0.4839,0
NER_00115,Mizoram,22.7845,92.3724,1.93,12.87,6.37,24.29,35.09,931.8,35.4,0,127.2,0.0009,0
NER_00116,Manipur,23.98394,93.52238,42.45,144.98,315.7,76.87,18.71,1467.9,2.28,3,43.5,0.9695,1
NER_00117,Nagaland,26.09527,93.47109,37.64,149.44,558.72,98.0,35.12,1153.6,2.2,1,12.5,0.9995,1
NER_00118,Sikkim,27.93189,88.38783,5.9,58.8,337.75,77.03,48.73,1765.8,11.55,1,127.9,0.9299,1
NER_00119,Meghalaya,25.2158,90.09004,4.06,105.31,153.43,73.93,31.59,577.5,6.53,1,38.9,0.7198,1
NER_00120,Tripura (Jampui Hills),24.01933,91.88936,28.89,204.59,501.76,98.0,23.87,463.4,21.43,0,124.8,0.9982,1
NER_00121,Tripura (Jampui Hills),24.31575,92.02101,0.67,0.67,28.48,47.4,19.36,150.0,7.01,3,323.0,0.0055,0
NER_00122,Mizoram,23.77564,92.90023,0.79,0.79,56.89,20.66,7.67,1469.8,7.74,3,40.0,0.0009,0
NER_00123,Manipur,24.58462,93.36701,7.98,12.97,33.65,36.74,39.13,550.0,5.1,3,324.9,0.0268,0
NER_00124,Manipur,24.67336,93.95963,16.79,123.94,584.74,98.0,27.86,524.8,16.18,2,407.0,0.9968,1
NER_00125,Nagaland,26.58811,94.63931,4.35,7.19,34.41,51.35,31.18,1068.8,5.23,1,681.4,0.0082,0
NER_00126,Arunachal Pradesh,29.36383,96.3277,30.54,122.79,243.72,81.29,40.14,2918.9,10.02,0,146.0,0.9382,1
NER_00127,Mizoram,22.53039,93.0038,31.17,188.42,220.75,70.11,24.32,640.6,0.43,1,315.9,0.9527,1
NER_00128,Assam (Barak/Dima Hasao),25.71405,93.73291,14.31,187.96,511.5,98.0,11.1,838.2,11.28,0,84.0,0.9954,1
NER_00129,Manipur,24.59398,94.50769,0.3,21.81,17.37,30.44,10.5,1199.6,14.47,3,51.5,0.0018,0
NER_00130,Arunachal Pradesh,27.35368,97.4346,26.32,40.35,143.47,60.65,41.01,2150.3,22.32,3,157.8,0.2674,1
NER_00131,Manipur,23.82676,93.6068,23.24,111.23,288.8,91.33,24.24,1675.4,1.72,2,254.5,0.9486,1
NER_00132,Mizoram,21.91776,92.66029,37.39,95.9,232.24,74.16,44.36,902.2,3.2,1,212.7,0.9189,1
NER_00133,Manipur,24.57029,93.90454,9.08,153.29,281.9,83.57,39.1,718.1,2.98,0,619.6,0.9758,1
NER_00134,Assam (Barak/Dima Hasao),25.78272,93.77792,29.99,192.16,458.64,91.05,36.26,783.2,13.97,2,285.1,0.9992,1
NER_00135,Meghalaya,25.15558,91.44295,6.82,61.22,353.63,78.36,20.27,1382.0,1.3,0,183.7,0.6203,1
NER_00136,Assam (Barak/Dima Hasao),25.43952,92.58083,2.76,14.46,2.72,22.23,22.93,150.0,10.28,1,423.8,0.0009,0
NER_00137,Meghalaya,25.98752,91.21621,3.59,9.36,53.48,52.1,35.82,1341.8,1.16,2,326.7,0.0402,0
NER_00138,Meghalaya,25.71446,91.78538,2.18,178.77,308.98,80.3,37.52,835.3,3.42,0,192.6,0.9922,1
NER_00139,Nagaland,26.03341,94.66628,3.71,211.92,586.39,98.0,27.19,1679.3,2.09,1,42.1,0.9997,1
NER_00140,Sikkim,27.26473,88.06056,41.98,113.77,386.66,88.37,27.49,1838.6,8.92,3,70.2,0.9858,1
NER_00141,Manipur,24.7574,93.52067,36.99,82.9,177.36,67.05,33.86,505.9,3.07,1,279.1,0.5583,1
NER_00142,Manipur,24.98939,93.76896,21.95,108.67,205.82,70.07,35.48,150.0,22.72,2,385.2,0.6995,0
NER_00143,Tripura (Jampui Hills),23.74097,91.93521,15.51,134.25,339.04,84.7,23.14,425.7,4.97,0,133.0,0.9465,1
NER_00144,Arunachal Pradesh,26.77739,95.84751,31.62,186.38,542.32,98.0,45.2,2715.5,8.96,2,517.1,0.9997,1
NER_00145,Arunachal Pradesh,27.40956,96.95396,3.17,17.39,42.23,28.38,43.39,2852.3,10.82,2,350.9,0.0163,0
NER_00146,Nagaland,25.88519,94.31394,7.31,11.74,50.38,32.97,30.56,1740.9,5.75,1,26.0,0.0084,0
NER_00147,Mizoram,23.82726,92.21946,31.18,143.2,283.78,83.31,18.74,1025.8,10.18,0,54.6,0.8849,1
NER_00148,Tripura (Jampui Hills),24.46651,92.18502,36.02,221.3,495.26,98.0,17.16,357.6,12.68,0,318.5,0.9982,1
NER_00149,Sikkim,27.92298,88.0669,26.17,48.98,177.41,72.91,39.18,2085.2,0.2,0,249.0,0.4642,0
NER_00150,Tripura (Jampui Hills),24.15928,91.80944,24.82,128.0,472.04,98.0,24.76,196.6,0.2,2,191.8,0.9962,1
NER_00151,Manipur,24.00333,93.17337,31.95,98.94,311.65,85.97,31.49,1310.2,5.98,3,77.8,0.9702,1
NER_00152,Meghalaya,25.68836,92.37466,25.0,53.56,308.5,79.81,31.61,1410.7,3.81,1,14.4,0.7939,1
NER_00153,Meghalaya,25.90531,92.55746,4.34,17.11,16.82,43.03,34.46,2253.8,9.43,1,79.1,0.0134,0
NER_00154,Arunachal Pradesh,26.54697,92.74295,37.88,142.51,554.76,98.0,52.29,3183.7,13.76,4,88.9,0.9997,1
NER_00155,Meghalaya,25.55071,92.72297,0.24,9.92,46.41,29.57,29.77,1804.6,14.59,0,366.3,0.0019,0
NER_00156,Tripura (Jampui Hills),23.72814,92.13182,16.2,70.45,133.53,63.28,23.19,418.2,7.05,1,369.8,0.1302,0
NER_00157,Manipur,25.20535,93.57002,31.4,57.16,289.14,78.73,28.72,1125.3,2.95,1,78.6,0.7183,1
NER_00158,Meghalaya,25.63723,92.15332,29.62,238.36,377.6,89.72,33.13,1441.3,4.27,2,322.6,0.9996,1
NER_00159,Manipur,24.0638,93.54204,35.13,71.63,212.6,67.77,24.75,1106.2,4.56,1,165.5,0.3936,1
NER_00160,Nagaland,25.21218,94.05181,2.4,16.28,35.66,41.11,31.7,1712.9,15.86,1,140.8,0.0078,0
NER_00161,Tripura (Jampui Hills),23.81418,92.37874,22.83,99.61,497.03,98.0,12.62,925.6,9.5,1,214.4,0.9597,1
NER_00162,Mizoram,23.43979,92.85475,45.41,80.55,422.33,97.13,25.27,740.3,24.46,1,308.1,0.9011,1
NER_00163,Nagaland,25.63564,94.55146,38.66,128.99,573.16,98.0,26.14,1347.1,0.61,8,163.1,0.9997,1
NER_00164,Arunachal Pradesh,28.6049,96.37378,36.19,152.85,436.3,89.47,25.41,2106.9,0.93,0,273.2,0.9912,1
NER_00165,Assam (Barak/Dima Hasao),24.94832,92.63805,38.59,119.19,454.99,98.0,5.28,866.0,6.53,2,62.4,0.9672,1
NER_00166,Sikkim,27.53105,88.26589,20.46,191.46,455.96,98.0,41.35,2118.9,14.24,2,107.1,0.9997,1
NER_00167,Meghalaya,25.37024,92.23056,1.28,6.1,10.47,39.59,40.29,1983.3,8.35,2,44.9,0.0197,0
NER_00168,Mizoram,23.97417,92.95571,13.38,111.65,143.65,68.98,41.58,1427.8,4.03,2,536.6,0.8161,1
NER_00169,Meghalaya,25.61961,92.19851,22.6,232.33,403.36,91.48,23.64,1312.3,1.76,0,277.7,0.9986,1
NER_00170,Tripura (Jampui Hills),24.11736,92.28824,38.75,83.71,196.08,64.49,22.77,508.2,7.63,0,36.0,0.2862,0
NER_00171,Assam (Barak/Dima Hasao),25.635,93.30473,11.92,52.54,212.52,74.3,14.8,964.8,6.17,4,667.3,0.2501,0
NER_00172,Sikkim,27.53307,88.17562,4.52,11.1,10.04,47.86,27.52,1816.9,8.47,1,169.2,0.0072,0
NER_00173,Sikkim,27.30234,88.48385,40.7,40.7,419.5,98.0,45.7,2417.4,10.85,2,199.5,0.981,1
NER_00174,Sikkim,27.836,88.39723,0.81,0.81,15.77,23.04,39.86,2612.7,10.65,2,71.1,0.0064,0
NER_00175,Meghalaya,25.79807,90.51084,12.97,46.33,169.31,69.65,36.46,905.6,3.45,2,250.4,0.4652,1
NER_00176,Manipur,24.41494,94.2673,50.69,231.62,615.18,98.0,31.05,1022.8,15.62,8,284.3,0.9997,1
NER_00177,Manipur,25.13271,93.23884,21.88,157.29,469.81,98.0,32.81,1380.4,2.28,3,124.7,0.9994,1
NER_00178,Assam (Barak/Dima Hasao),25.52186,92.88952,3.67,18.32,43.86,43.25,31.32,1103.6,24.01,0,10.0,0.0055,0
NER_00179,Meghalaya,25.81611,90.99315,43.78,44.38,457.97,98.0,28.64,2131.7,5.46,0,83.4,0.9324,1
NER_00180,Sikkim,27.05054,88.56356,7.28,10.69,59.74,50.88,38.85,2138.0,21.21,0,152.4,0.0137,0
NER_00181,Nagaland,25.36801,93.98483,0.73,18.88,25.75,23.33,46.56,1792.6,8.37,0,245.6,0.0093,0
NER_00182,Meghalaya,25.21943,90.47857,22.3,44.74,106.61,57.51,31.48,1350.6,9.52,3,1109.0,0.0598,0
NER_00183,Nagaland,25.44683,94.76957,40.29,161.25,389.3,89.04,30.85,1504.2,39.63,0,189.0,0.9656,1
NER_00184,Manipur,25.5478,94.10894,6.33,8.79,25.76,28.67,22.11,1199.2,18.15,0,32.9,0.001,0
NER_00185,Mizoram,23.33883,92.92001,41.64,131.49,390.78,91.42,17.8,765.1,9.38,3,268.5,0.9791,1
NER_00186,Mizoram,23.18671,92.33529,3.3,3.3,51.65,32.79,32.89,663.0,6.01,5,1083.5,0.0091,0
NER_00187,Tripura (Jampui Hills),24.45445,92.26222,4.01,12.67,37.71,34.54,20.03,748.8,2.43,0,15.6,0.0028,0
NER_00188,Meghalaya,25.67648,91.41297,42.45,88.52,382.42,92.6,32.35,1496.0,0.66,4,915.4,0.9788,1
NER_00189,Meghalaya,25.37915,91.11246,27.38,27.38,357.12,88.21,38.36,1314.8,2.24,4,30.8,0.9595,1
NER_00190,Sikkim,27.18022,88.85771,6.17,6.72,53.18,21.03,39.28,1508.1,10.21,0,33.9,0.0048,0
NER_00191,Nagaland,26.14294,93.7996,4.17,4.17,9.44,51.3,32.73,2055.3,5.48,1,14.3,0.015,0
NER_00192,Meghalaya,25.30556,91.32647,31.3,224.51,640.38,98.0,30.03,2167.1,2.24,1,120.7,0.9997,1
NER_00193,Assam (Barak/Dima Hasao),25.11432,92.84757,1.32,1.32,13.39,21.61,30.82,572.8,13.99,1,31.8,0.0018,0
NER_00194,Tripura (Jampui Hills),24.36603,92.26412,2.95,18.49,14.56,54.02,18.58,757.8,4.88,1,86.2,0.0077,0
NER_00195,Mizoram,23.8044,92.85587,19.76,171.03,205.35,69.91,31.46,981.0,21.55,0,195.0,0.8603,1
NER_00196,Nagaland,25.38711,94.30665,29.55,222.29,656.07,98.0,26.27,1534.6,0.49,8,310.9,0.9997,1
NER_00197,Arunachal Pradesh,27.87537,95.9874,17.46,164.05,252.87,82.1,32.67,2369.3,8.11,1,224.1,0.976,1
NER_00198,Arunachal Pradesh,27.45417,93.13174,30.4,119.86,332.79,86.46,25.45,2840.1,12.11,1,42.2,0.9448,0
NER_00199,Mizoram,23.07498,92.75602,9.86,63.38,478.84,98.0,32.35,1060.7,13.19,0,304.9,0.9546,1
NER_00200,Sikkim,27.7449,88.23415,9.41,118.96,510.71,98.0,15.04,2300.3,4.15,1,344.7,0.9841,1
NER_00201,Mizoram,22.23986,93.18841,0.55,0.55,3.87,35.52,21.18,1605.9,8.28,1,74.9,0.0018,0
NER_00202,Arunachal Pradesh,26.86758,97.15368,50.14,111.0,300.27,80.18,61.41,2884.2,4.54,2,171.4,0.9962,1
NER_00203,Mizoram,23.58292,92.79867,54.69,194.37,336.49,81.54,39.66,1538.4,0.73,1,135.9,0.9982,1
NER_00204,Sikkim,28.08834,88.70372,13.61,55.46,228.95,79.36,30.85,2588.3,5.3,4,174.5,0.8005,1
NER_00205,Tripura (Jampui Hills),24.02943,92.26011,7.97,22.93,3.35,27.68,10.48,1680.6,0.84,2,77.5,0.0017,0
NER_00206,Assam (Barak/Dima Hasao),25.29673,93.67491,0.71,0.71,42.03,39.73,23.94,890.2,7.18,3,299.0,0.0063,0
NER_00207,Mizoram,24.07541,93.17248,19.48,19.48,264.58,75.59,25.37,1691.3,1.54,0,14.5,0.2694,0
NER_00208,Manipur,24.44744,93.31943,21.34,39.96,306.79,88.83,33.86,338.0,0.49,0,304.9,0.7435,1
